"state","placefp","county","tract","block","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","Tract","Block","State abbreviation","County name","Place name","Population (2010)","placefp to block allocation factor"
"55","78600","55025","0115.05","1016","WI","Dane WI","Sun Prairie city, WI",59,0.002 
"55","78600","55025","0115.05","1018","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0115.05","1019","WI","Dane WI","Sun Prairie city, WI",256,0.0087 
"55","78600","55025","0115.05","1020","WI","Dane WI","Sun Prairie city, WI",1,0 
"55","78600","55025","0115.05","2000","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0115.05","2001","WI","Dane WI","Sun Prairie city, WI",6,0.0002 
"55","78600","55025","0115.05","2002","WI","Dane WI","Sun Prairie city, WI",379,0.0129 
"55","78600","55025","0115.05","2003","WI","Dane WI","Sun Prairie city, WI",90,0.0031 
"55","78600","55025","0115.05","2004","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.05","2005","WI","Dane WI","Sun Prairie city, WI",29,0.001 
"55","78600","55025","0115.05","2006","WI","Dane WI","Sun Prairie city, WI",249,0.0085 
"55","78600","55025","0115.05","2007","WI","Dane WI","Sun Prairie city, WI",124,0.0042 
"55","78600","55025","0115.05","2009","WI","Dane WI","Sun Prairie city, WI",295,0.01 
"55","78600","55025","0115.05","2010","WI","Dane WI","Sun Prairie city, WI",87,0.003 
"55","78600","55025","0115.05","2011","WI","Dane WI","Sun Prairie city, WI",75,0.0026 
"55","78600","55025","0115.05","2012","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0115.05","2013","WI","Dane WI","Sun Prairie city, WI",39,0.0013 
"55","78600","55025","0115.05","2014","WI","Dane WI","Sun Prairie city, WI",46,0.0016 
"55","78600","55025","0115.05","2015","WI","Dane WI","Sun Prairie city, WI",34,0.0012 
"55","78600","55025","0115.05","2016","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.05","2017","WI","Dane WI","Sun Prairie city, WI",20,0.0007 
"55","78600","55025","0115.05","2019","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0115.05","2020","WI","Dane WI","Sun Prairie city, WI",98,0.0033 
"55","78600","55025","0115.05","2021","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.05","2023","WI","Dane WI","Sun Prairie city, WI",66,0.0022 
"55","78600","55025","0115.05","3000","WI","Dane WI","Sun Prairie city, WI",156,0.0053 
"55","78600","55025","0115.05","3001","WI","Dane WI","Sun Prairie city, WI",168,0.0057 
"55","78600","55025","0115.05","3002","WI","Dane WI","Sun Prairie city, WI",101,0.0034 
